Release Date,Number of Reviews,Plays,Playing,Wishlist
20221213,409,1300,284,1300
20100420,54,3800,1,10
20130219,2100,14000,492,2000
20150402,988,11000,443,994
20210326,789,5700,1100,1300
20180529,280,2200,134,309
20181018,1000,4700,195,2400
20190621,408,2500,50,294
20180907,2500,21000,577,2200
20221109,1700,5300,801,3300
20170213,236,4100,56,91
20040626,770,4000,155,771
20100323,302,5100,36,142
20150915,3500,28000,679,1800
20170318,179,1500,132,174
20180926,421,2600,107,643
20190221,315,2800,230,532
20091020,484,9100,98,450
20170328,411,1100,170,987
20211007,2100,9200,759,3300
20151001,443,2700,7,484
19990223,1300,6800,272,1600
19941018,839,6000,40,269
20221014,348,1400,100,934
20110419,468,6600,19,120
20180809,755,4300,235,904
20150723,199,3300,13,111
20160512,1800,18000,541,1400
20180828,695,5600,35,496
20080807,361,1900,78,235
20170803,386,1100,75,468
20220216,226,718,81,271
20181210,487,2500,154,625
19960227,734,8800,57,154
20220616,880,3500,226,829
20060515,991,16000,108,287
20220128,1600,9100,1600,2100
20160121,1200,9700,439,1000
20191008,211,969,56,349
20221109,1700,5300,801,3300
20041121,614,9100,65,176
20130717,178,393,22,298
20130501,329,4400,15,275
20170223,2900,18000,1100,3600
20220616,880,3500,226,829
19991217,348,3900,11,132
20191031,800,5600,313,1300
20060706,399,762,23,448
20031127,398,1000,38,513
20210909,399,2200,59,636
20111018,1600,16000,192,651
20181011,241,779,30,366
20141103,415,5200,13,151
20130904,547,7500,90,401
19960623,2600,21000,463,775
20221122,148,335,38,510
20150218,663,6600,247,354
20150402,988,11000,443,994
20060601,469,7000,39,262
20180727,264,1700,35,235
20161028,1300,12000,163,656
20091029,1700,13000,614,2300
20100918,1000,12000,186,461
20100610,828,3900,142,732
20190228,329,1800,46,324
20011214,533,3900,51,317
20081202,201,2500,23,206
20210924,790,1700,192,1600
19921121,1200,10000,56,228
19870114,756,4500,55,290
20061119,642,6000,82,466
20221027,820,2200,419,2200
19960309,832,4400,133,858
19941118,1300,11000,186,514
19971211,648,2200,63,590
20210430,725,2400,430,1600
20051031,650,7700,35,189
20140321,668,7600,71,574
