Release Date,Number of Reviews,Plays,Playing,Rating,Wishlist
20200319,1600,20000,1800,3.6,1100
20071109,62,1400,1,3.1,16
20150129,1400,15000,209,3.4,817
20061017,635,6700,80,3.9,768
20220719,1500,7700,801,3.7,3400
20051017,564,3600,65,3.8,505
20221215,104,185,28,3.7,235
20181113,552,4500,282,3.9,808
20141111,384,3400,27,3.2,330
20010305,426,2700,39,3.6,503
20230317,116,48,40,4.0,329
20220728,167,454,148,3.4,602
20061111,194,1300,16,3.0,119
20011113,1800,10000,161,4.4,1400
19901008,83,2400,15,3.2,6
20041117,1500,9200,118,4.5,1300
20181017,149,1600,142,4.2,366
20120914,325,3800,64,3.8,202
20210910,650,3100,571,3.6,1900
19871217,639,5400,26,2.8,152
20001206,242,1100,42,3.4,401
20101020,605,10000,153,3.5,501
20150716,144,2000,26,3.7,106
20101111,609,5100,44,3.4,342
20201119,531,2700,308,3.5,695
20181206,90,527,49,4.0,257
20120306,777,7300,79,3.7,482
20080922,743,5800,47,4.3,427
20061107,231,2900,8,2.8,122
20150519,2000,17000,1200,4.3,1600
20200116,1600,6000,847,4.3,2800
20131219,503,1900,128,3.8,946
20220218,830,2700,561,3.8,2300
20061119,775,18000,39,3.7,93
20080429,1100,14000,258,3.8,721
20201101,203,4500,67,2.8,171
20201112,335,2800,206,4.2,472
20060901,187,5100,213,2.8,14
20111101,671,4700,66,3.9,925
20160301,95,1100,10,3.6,32
20220811,589,2800,546,3.6,2100
20071116,882,12000,98,3.1,460
20110322,180,2900,10,3.1,155
20130904,547,7500,90,3.3,401
19950324,405,2400,19,3.5,139
20160226,1700,20000,2000,4.1,1100
20190909,382,2100,70,3.4,221
20100721,965,13000,129,3.5,852
19921016,157,1400,6,2.8,45
20230224,253,258,271,4.4,895
20210430,725,2400,430,4.0,1600
20160621,940,5400,469,4.1,1500
20161118,600,7600,74,3.3,230
20190313,545,4600,537,4.0,1200
20100204,321,2600,40,3.2,334
20191015,1100,4000,478,4.6,1900
20110516,1300,18000,673,4.0,593
20210621,118,3000,125,3.2,5
20140318,650,9500,53,3.3,549
19991217,348,3900,11,3.7,132
20201209,1500,13000,1500,3.3,2900
19961025,395,2700,45,3.3,263
19900720,306,1200,19,3.5,183
20171212,207,3200,30,3.1,142
20130926,887,6700,183,4.3,910
20160915,1800,16000,630,4.1,1700
20171213,386,2000,31,3.8,382
20190523,513,1300,155,4.3,1300
20200529,1400,7400,849,4.3,1900
20031106,480,5500,37,3.6,421
20190920,1100,7600,387,3.9,2000
20021003,296,308,31,4.1,420
20161115,554,6600,125,3.3,453
20211007,298,1600,157,2.7,792
20210303,317,1400,76,3.8,445
20080904,238,6000,34,3.3,170
20100518,1500,13000,218,4.2,1600
20220909,840,3500,1000,4.1,1100
20111115,547,6200,85,3.8,417
20211216,344,1500,55,3.7,651
20040323,137,1000,7,3.4,123
20120612,295,1600,32,3.4,695
20200918,422,4700,391,3.5,319
20211019,1000,5400,557,4.1,2300
20060331,995,6600,172,4.4,623
20220909,840,3500,1000,4.1,1100
19990512,763,3700,71,4.2,202
20011129,308,1900,18,2.3,119
20211026,1100,5100,432,3.8,1300
20190829,355,2300,44,2.5,217
19911231,232,939,8,3.3,201
19961015,549,5900,50,3.6,101
20181005,772,6800,435,3.4,746
20140430,295,6900,146,2.6,36
20071101,2700,21000,468,4.3,1200
20200826,503,3200,26,3.3,692
20110914,211,1700,7,3.8,95
20170831,468,4000,66,3.3,359
20071113,224,3000,26,3.2,241
20060331,995,6600,172,4.4,623
20221118,596,2600,580,3.5,496
20080916,417,7400,50,3.2,350
20210824,1200,4300,315,4.2,2300
20170815,1300,12000,399,4.0,786
20140930,524,8400,106,3.4,478
20040129,413,5900,62,3.8,128
20150918,88,4000,31,3.1,62
20200410,2000,12000,898,4.1,2200
20200827,233,1400,124,4.0,195
20211217,836,6100,944,3.7,409
20081028,894,12000,162,3.4,589
20160823,387,3400,72,3.5,458
20050915,1300,12000,418,4.1,1000
20211207,426,2500,454,4.6,391
20080922,743,5800,47,4.3,427
20120918,1100,16000,344,3.5,494
20200410,2000,12000,898,4.1,2200
20111117,438,2400,161,3.7,682
20221204,70,365,77,3.5,2
20160325,46,2100,1,2.2,4
20181031,591,11000,107,3.9,729
20151007,363,4300,137,4.1,319
19800522,427,5200,7,3.4,31
20030506,1000,5100,114,4.2,871
20170822,758,4700,51,3.8,754
20170926,177,1100,38,3.2,177
20230125,926,3000,866,4.3,2000
19950311,1900,9100,518,4.5,2200
19910623,1100,12000,60,3.1,243
20130603,179,1600,22,2.9,239
20040318,939,4100,60,4.2,761
20200818,513,2300,352,3.9,918
20160510,1800,14000,177,4.1,1200
20230120,593,1600,874,3.9,1100
20190613,269,1800,39,3.6,587
20180907,2500,21000,577,4.1,2200
20200928,653,14000,2700,2.6,280
20200619,2500,13000,472,4.1,2500
20080410,1000,19000,88,3.9,168
20210326,789,5700,1100,4.0,1300
20121108,813,9900,156,4.0,383
20051222,641,3700,50,4.6,639
20180430,293,4500,143,3.2,291
20020328,1300,12000,266,3.6,1000
20200410,2000,12000,898,4.1,2200
20150816,123,625,34,4.3,180
20181213,890,3100,358,4.1,1600
20040916,1200,16000,219,4.0,376
20220622,121,558,49,3.4,306
20200501,1100,6000,1200,4.6,2700
19901121,2100,18000,218,4.2,460
19930323,718,6000,61,3.6,217
20230210,474,1400,766,3.5,1600
20061119,642,6000,82,4.1,466
20170118,516,2100,122,3.9,1000
20120424,1200,12000,111,4.0,467
20010701,243,1900,9,3.4,109
20071004,200,3800,18,3.0,122
20190528,1800,7700,661,4.6,3100
20210422,1500,6700,880,4.2,3700
19960514,468,1300,81,4.0,385
20221118,596,2600,580,3.5,496
20110222,159,2300,6,3.2,125
20180830,613,3700,157,3.8,702
20000626,899,3800,189,4.4,958
20200619,2500,13000,472,4.1,2500
20120216,234,1100,9,3.5,192
20160510,1800,14000,177,4.1,1200
20120313,1500,12000,94,3.9,1700
20130115,432,6300,62,3.0,448
20041104,1100,8700,280,3.9,911
20160914,509,4800,252,4.0,341
20111108,587,10000,27,3.2,195
20210212,497,2100,35,3.9,314
20190521,264,1500,49,2.9,107
20140529,643,9300,40,3.9,121
20210610,521,984,126,4.1,983
20101125,1000,12000,311,3.5,716
20030220,1100,4100,358,4.2,1300
20170915,674,3900,149,3.6,686
20020222,448,1400,47,4.3,645
20021121,494,7000,33,3.7,127
20191015,1100,4000,478,4.6,1900
20100604,124,5100,3,2.8,21
20190322,2300,14000,919,4.4,3400
20111115,482,9400,74,3.4,210
20160428,669,3600,82,4.2,644
20111101,941,11000,60,3.6,477
20060420,1600,5700,287,4.5,1900
20080717,371,1400,85,4.2,478
20210611,906,3700,218,4.0,1700
19931217,1200,6900,76,4.1,385
20090825,1400,17000,232,3.9,672
20191128,1200,3700,466,4.4,2500
20090205,1200,5500,155,4.1,1200
20180227,535,3400,132,3.9,567
20080131,511,6500,84,3.6,681
20051017,182,927,10,3.9,191
20070726,1000,5200,256,4.2,1500
20071028,489,6900,21,3.9,78
20100308,295,1400,38,3.8,255
20211112,1100,4100,1000,3.8,2600
20190125,2500,15000,585,4.3,1900
19940902,307,555,36,4.2,491
20201112,880,4100,403,3.9,2100
20210827,604,1600,109,3.9,1400
20101026,242,4100,18,2.8,268
20170224,3000,21000,2400,4.4,2300
19991212,417,1100,74,4.3,518
20050111,2300,14000,360,4.3,1200
20140902,458,8300,434,3.0,110
20131105,411,6500,9,2.4,150
20200403,1300,8400,157,3.2,1600
19990121,688,9800,20,3.4,207
20180928,317,561,30,4.3,356
20031107,808,8400,31,3.9,265
20151217,106,1700,36,2.8,196
20220825,161,368,25,3.5,294
