Playing
68
48
43
96
32
1200
139
37
1500
11
154
43
2500
92
23
90
12
27
1100
156
447
57
97
186
6
32
210
116
158
21
2
131
263
96
272
564
325
116
109
32
1100
66
146
1100
632
43
6
248
302
235
103
17
1200
1700
919
107
0
3
212
173
301
59
357
109
41
297
541
403
44
95
64
470
3200
79
248
235
89
219
1200
38
45
387
91
279
59
382
4
3
64
81
149
1200
105
128
8
1100
537
17
16
8
103
305
344
589
118
118
829
141
72
6
934
756
1600
123
399
158
52
468
20
198
24
11
374
45
474
93
189
180
4
92
478
97
68
34
203
60
304
62
266
9
779
56
650
85
347
67
250
193
124
679
148
258
256
31
137
15
577
204
2300
65
0
447
113
180
32
127
61
37
67
242
37
145
68
68
524
48
21
53
131
1800
1800
1
209
80
801
65
28
282
27
39
40
148
16
161
15
118
142
64
571
26
42
153
26
44
308
49
79
47
8
1200
847
128
561
39
258
67
206
213
66
10
546
98
10
90
19
2000
70
129
6
271
430
469
74
537
40
478
673
125
53
11
1500
45
19
30
183
630
31
155
849
37
387
31
125
157
76
34
218
1000
85
55
7
32
391
557
172
1000
71
18
432
44
8
50
435
146
468
26
7
66
26
172
580
50
315
399
106
62
31
898
124
944
162
72
418
454
47
344
898
161
77
1
107
137
7
114
51
38
866
518
60
22
60
352
177
874
39
577
2700
472
88
1100
156
50
143
266
898
34
358
219
49
1200
218
61
766
82
122
111
9
18
661
880
81
580
6
157
189
472
9
177
94
62
280
252
27
35
49
40
126
311
358
149
47
33
478
3
919
74
82
60
287
85
218
76
232
466
155
132
84
10
256
21
38
1000
585
36
403
109
18
2400
74
360
434
9
157
20
30
31
36
25
23
33
589
16
96
92
73
2400
22
132
399
230
100
1100
19
146
263
15
471
216
29
97
175
46
128
585
1200
926
192
37
756
8
65
187
159
268
258
309
389
360
162
48
146
1100
180
786
520
28
20
866
1200
333
235
65
120
880
102
13
31
131
143
80
491
159
40
41
8
162
75
518
88
738
630
203
22
16
22
39
63
584
519
44
99
78
104
22
9
175
60
360
74
31
710
101
3800
374
205
505
82
689
3200
45
189
53
71
35
32
54
360
46
93
60
72
387
443
1500
104
21
45
130
216
126
92
322
131
52
18
96
596
2
17
122
148
748
98
3800
14
105
23
51
1100
45
183
4
1800
302
49
321
463
72
1800
2
33
241
45
76
955
133
19
7
39
118
218
3200
756
88
16
202
21
36
135
97
52
29
3
60
282
1100
192
108
115
280
266
59
91
65
55
86
281
32
261
134
218
68
23
35
23
150
135
1100
64
46
137
1
453
12
90
433
403
279
153
176
35
192
313
219
564
557
14
102
168
100
110
98
795
795
32
71
218
1500
39
146
86
37
158
58
216
453
868
54
463
97
32
134
335
128
58
78
364
426
26
141
287
15
15
433
1200
72
228
109
44
86
2
163
630
158
1100
282
59
186
8
24
3
257
33
54
176
182
60
419
52
155
221
99
109
154
766
36
135
78
5
41
149
115
14
87
70
22
37
293
1100
19
26
59
20
59
92
341
44
114
519
31
235
69
14
407
199
286
24
489
248
42
268
258
51
21
357
585
2400
748
388
1600
470
11
268
209
39
15
57
107
56
59
176
89
26
468
801
268
87
11
713
89
51
235
382
11
766
117
59
1100
65
589
2000
76
505
41
403
157
148
169
1100
70
866
32
19
129
333
90
257
18
13
198
260
436
227
362
96
53
222
7
650
131
175
491
149
58
79
81
62
25
132
212
29
186
53
12
30
357
302
288
34
591
165
302
1500
161
591
57
15
205
140
3800
589
2
142
31
333
2
410
242
65
72
575
54
851
19
44
103
41
67
944
109
76
447
2
200
161
49
121
33
211
56
118
364
57
314
188
29
94
172
20
254
759
564
215
100
15
10
84
153
472
215
140
1
282
28
5
65
3
669
139
108
40
99
132
65
1100
187
614
2000
67
51
44
11
122
1100
740
491
90
1100
20
407
8
801
433
81
34
328
851
295
125
29
36
60
149
955
57
503
199
101
5
22
83
4
152
63
524
9
202
247
40
49
110
150
132
105
801
35
57
279
153
56
23
206
1200
94
26
78
135
65
112
52
228
118
18
135
419
21
205
83
112
163
189
331
20
17
13
509
8
28
43
58
188
197
22
15
1
115
63
20
106
38
96
108
137
94
122
241
114
737
165
235
137
2300
1000
44
82
115
17
18
713
242
280
244
10
55
38
128
1100
213
2500
292
47
107
10
42
60
25
444
492
295
186
189
58
75
65
73
258
589
10
59
600
61
134
444
21
260
189
140
223
169
119
115
158
39
1000
20
492
247
489
305
5
140
59
88
2500
571
131
32
108
283
40
108
39
44
64
2
34
6
60
18
61
22
2
29
44
270
0
439
114
95
26
18
43
130
122
51
189
17
27
131
25
92
67
95
209
471
59
61
137
489
688
9
39
12
23
37
55
22
31
1100
83
679
301
505
33
453
1100
705
41
418
93
66
6
26
125
335
661
10
389
128
131
248
123
283
688
1200
439
95
51
85
90
1200
107
36
710
1800
191
107
68
134
127
68
403
5
33
1100
880
227
155
176
334
228
67
12
738
235
293
76
145
426
1100
86
39
38
115
387
57
64
7
40
759
40
20
410
140
689
107
644
41
170
1800
524
26
65
6
177
710
68
203
97
202
203
57
226
388
16
18
71
125
109
76
87
22
5
320
15
492
1700
829
16
76
1200
1500
267
46
62
242
2700
339
267
29
99
1800
118
287
389
74
152
210
283
999
7
83
851
38
217
71
434
60
51
244
61
46
228
39
62
123
102
23
31
205
126
8
211
330
149
13
67
164
1700
2300
96
714
34
284
1
492
443
1100
134
195
50
577
801
56
155
36
679
132
107
230
98
170
759
7
272
40
100
19
235
13
541
35
78
75
81
154
57
226
108
1600
439
56
801
65
22
15
1100
226
11
313
23
38
59
192
30
13
90
463
38
247
443
39
35
163
614
186
142
46
51
23
192
56
55
82
419
133
186
63
430
35
71
279
20
244
19
557
34
614
29
360
48
17
596
72
77
71
403
157
260
15
22
471
216
1
279
71
28
326
105
21
2700
795
172
128
356
82
654
23
470
37
661
45
160
200
270
242
16
59
41
4
372
30
1200
237
34
644
524
316
222
133
4
13
91
122
85
593
235
561
6
358
141
76
14
47
30
119
350
89
93
73
1200
829
43
519
51
321
2
95
46
334
13
399
95
47
54
418
250
128
10
25
1000
312
90
13
83
118
57
40
210
76
541
61
8
22
88
137
25
241
20
75
141
919
89
1200
571
57
94
1200
738
141
117
186
397
80
955
